Id|Description|Speaker|Text
InspectHouse01|Inspect House 01|Storyteller|{#DialogueItalicFormat}A Casa de Hades: Esse covil sombrio e luxuoso do Rei do Submundo é o lar não apenas dele, mas de seu filho obstinado.
InspectLoungeClosed01|Inspect Lounge Closed 01|Storyteller|{#DialogueItalicFormat}O que antes era uma pequena área de descanso na Casa de Hades agora está selada, completamente em ruínas desde que o Cérbero das três cabeças destruiu o cômodo, lamentando o desaparecimento do Príncipe.
InspectShades01|Inspect Shades 01|Storyteller|{#DialogueItalicFormat}As sombras dos mortos vagam constantemente pela Casa, reclamando de suas desgraças e buscando a atenção de quem quiser ouvir.
InspectLoungeOpen01|Inspect Lounge Open 01|Storyteller|{#DialogueItalicFormat}A área de descanso da Casa de Hades é um lugar triste, apesar de ter sido criada para animar os sombrios habitantes da Casa.
InspectEmployeeOfTheMonth01|Inspect Employee Of The Month 01|Storyteller|{#DialogueItalicFormat}Um quadro comemorativo adorna uma das paredes pouco decoradas da área de descanso, celebrando e reafirmando as conquistas daqueles que melhor servem ao Lorde Hades.
InspectCellar01|Inspect Cellar 01|Storyteller|{#DialogueItalicFormat}Os antigos barris de vinho escondidos nas profundezas da Casa de Lorde Hades... poucos experimentaram a safra intoxicante que eles possuem, e menos ainda são autorizados a sequer se aproximarem deles.
InspectCellar01|Inspect Cellar 01|Storyteller|{#DialogueItalicFormat}Os robustos barris de vinho na Casa de Hades agora estão quase que completamente desprovidos de seu conteúdo, tendo bravamente enfrentado a sede combinada dos Olimpianos durante um certo banquete.
InspectOlympusSculpture01|Inspect Olympus Sculpture 01|Storyteller|{#DialogueItalicFormat} Uma majéstica estátua dourada do Olimpo, feita com extrema destreza da pedra da montanha. Ela agora eternamente ilumina até mesmo a escuridão da Casa de Hades — um presente de despedida da familia do Lorde Mestre.
InspectMural01|Inspect Mural 01|Storyteller|{#DialogueItalicFormat}Um vasto e intricado mosaico retrata o Rei do Submundo governando sobre a enormidade de seu domínio, enquanto seus residentes ctônicos o observam em admiração.
InspectThrone01|Inspect Throne 01|Storyteller|{#DialogueItalicFormat}Raramente o altivo trono do sombrio Lorde Hades fica desocupado; assim, os habitantes da Casa seguem suas vidas, sem ousar questionar o acontecido.
InspectHouseGarden01|Inspect House Garden 01|Storyteller|{#DialogueItalicFormat}O jardim da Rainha Perséfone, proibido ao príncipe por toda sua vida, agora enfim está diante dele, em todo seu esplendor.
Flashback02|Flashback 02|Storyteller|{#DialogueItalicFormat}Ele se aventura rumo ao imponente trono de seu Lorde Pai, esperando de certa forma ser pego, mas sem saber o que está prestes a encontrar.
Flashback03|Flashback 03|Storyteller|{#DialogueItalicFormat}Ele não sabe exatamente o que procura. Ele só sabe que sempre sentiu algo estranho, como se não pertencesse a este lugar. Quem é ele, afinal? Lorde Hades nunca toleraria esse tipo de perguntas. Então, o Príncipe Zagreu descobriria sozinho.
Flashback04|Flashback 04|Storyteller|{#DialogueItalicFormat}Ele vasculha pelas posses de seu Lorde Pai. Não há muito que lhe chame a atenção ali. Registros e demais papiradas administrativas. Correspondência do Olimpo que ele ignorou. Nenhum traço de qualquer referência a seu filho.
Flashback05|Flashback 05|Storyteller|{#DialogueItalicFormat}Mas, então, ele encontra um bilhete... escrito delicadamente com uma letra e voz às quais o Príncipe jamais vira ou ouvira.
Flashback05|Flashback 05|Persephone|{#DialogueItalicFormat}\"Hades: não aguento mais viver neste lugar. Então, estou indo embora, mesmo que isso me mate. Não retornarei ao Olimpo. Se há um lugar neste mundo que eu possa chamar de lar, deve estar em algum lugar entre o céu e o inferno. Talvez seja no litoral e tenha um pequeno jardim. Cuide do Cérbero; sentirei falta dele.\
Flashback05|Flashback 05|Storyteller|{#DialogueItalicFormat}Assim, o Príncipe do Submundo, Zagreu, absorveu o conteúdo desta carta guardada, escrita pela mão de sua mãe.
Flashback05|Flashback 05|Zagreus|''A mão de sua mãe''... a mão de minha mãe... espere, {#DialogueItalicFormat}como assim{#PreviousFormat}?! Você está dizendo que essa tal de Perséfone é... a minha mãe...? Mas meu Pai sempre disse que Nix era minha... aquele mentiroso. Ele mentiu para mim, ambos mentiram. Toda a minha vida!
Flashback05|Flashback 05|Storyteller|{#DialogueItalicFormat}Argh! Então o Príncipe descobriu, por acaso, a verdade bem guardada sobre sua linhagem. Algo totalmente por acaso...
Flashback06|Flashback 06|Storyteller|{#DialogueItalicFormat}Perséfone... a única Rainha de todo o Submundo... aonde ela teria ido e por quê? Mergulhado em novas dúvidas e em sua fúria, o Príncipe decidiu confrontar seu Mestre e Senhor.
Flashback_DayNightJob_02|Flashback Day Night Job 02|Storyteller|{#DialogueItalicFormat}Ignorando as responsabilidades, Zagreu atravessa caminhando o saguão de seu Pai, bem despreocupado com a urgência que esperam que sinta e aja em circunstâncias como esta.
Flashback_DayNightJob_03|Flashback Day Night Job 03|Storyteller|{#DialogueItalicFormat}A porta da câmara administrativa o chama logo após o saguão. O príncipe talvez acredite que possa entrar silenciosamente, sem chamar atenção daqueles que trabalham lá.
Inspect_HousePillars_01|Inspect House Pillars 01|Storyteller|{#DialogueItalicFormat}Dentre as inúmeras e esplêndidas joias ocultas sob a terra, muitas são usadas para decorar a Casa de Hades, deus dos mortos, deus das riquezas.
Inspect_NorthFountain_01|Inspect North Fountain 01|Storyteller|{#DialogueItalicFormat}A água é a fonte da vida, ainda assim flui dentro dos recônditos mais obscuros do Submundo, enquanto as sombras inquietas dos mortais a observam e relembram os breves dias em que podiam bebê-la e respirar.
Inspect_SouthFountain_01|Inspect South Fountain 01|Storyteller|{#DialogueItalicFormat}O Príncipe, carregado de joias, encomendou essa fonte tão refinada para a Casa. Desde então, todas as sombras que a admiram ainda pensam nele com bastante carinho.
Inspect_Cauldron_01|Inspect Cauldron 01|Storyteller|{#DialogueItalicFormat}Os mortos não precisam comer, mas tentam se deleitar com a comida de qualquer maneira, como se o fato de imaginarem os costumes da vida mortal lhes trouxesse uma sensação de paz.
Inspect_KitchenIsland|Inspect Kitchen Island|Storyteller|{#DialogueItalicFormat}Tendo investido pesado na área de culinária da Casa de Hades, Zagreu, de estômago vazio, não consegue encontrar nada adequado para comer.
Inspect_PoetBust_01|Inspect Poet Bust 01|Storyteller|{#DialogueItalicFormat}Na galeria da Casa agora repousa o busto de um poeta de notoriedade, belo e severo em sua idade, que embora ainda não havia recebido sua fama destinada, deverá algum dia ser mais conhecido.
Inspect_AsphodelStatue_01|Inspect Asphodel Statue 01|Storyteller|{#DialogueItalicFormat}A aterrorizante representação dos pálidos guerreiros Ressecados agora decora o corredor por toda a eternidade, para sempre homenagear os selvagens servos do lorde da Casa.
Inspect_WarriorStatue_01|Inspect Warrior Statue 01|Storyteller|{#DialogueItalicFormat}O físico perfeitamente esculpido de um dos maiores heróis de todos os tempos da Grécia agora adorna a galeria da Casa, lembrando à maior parte dos observadores as muitas formas que não podem se comparar a ele.
Inspect_MainHallFireplace01|Inspect Main Hall Fireplace 01|Storyteller|{#DialogueItalicFormat}A luz criada pelas chamas do mais profundo inferno ilumina a área de descanso com um leve brilho; e seu calor reconforta os poucos moradores e visitantes presentes.
Inspect_Sundial01|Inspect Sundial 01|Storyteller|{#DialogueItalicFormat}Tempo parece ficar perfeitamente imóvel dentro do reino eterno dos mortos, evidenciado até pelos meios que medem sua passagem.
Flashback_Mother_01|Flashback Mother 01|Storyteller|{#DialogueItalicFormat}É a calada da noite, ou a sua aproximação, no reino de Hades. O Príncipe do Submundo, Zagreu, se levanta de um sono agitado, com muitas ideias travessas na cabeça.
Flashback_DayNightJob_01|Flashback Day Night Job 01|Storyteller|{#DialogueItalicFormat}O príncipe de sono pesado do Submundo se levanta, com o sentimento que o breve cochilo que havia planejado como descanso dos rigores do dia ou noite aparentemente acabou sendo não tão breve como esperava, nem de longe...
InspectBedroom01|Inspect Bedroom 01|Storyteller|{#DialogueItalicFormat}Os aposentos do Príncipe Zagreu encontram-se em um estado perpétuo de completa desordem, apesar de seu Lorde Pai, o Mestre da Casa insistir muitas vezes para que ele arrumasse tudo.
InspectBedroom_TrojanArms|Inspect Bedroom Trojan Arms|Storyteller|{#DialogueItalicFormat}As armas destruídas do cerco de Ílion, agora reduzidas a decorações nos aposentos bagunçados do Príncipe.
InspectBedroom_AchillesPoster|Inspect Bedroom Achilles Poster|Storyteller|{#DialogueItalicFormat}A bravura do ousado Aquiles foi imortalizada na parede do Príncipe, como se isso pudesse dar mais coragem a ele.
InspectBedroom_AphroditePoster|Inspect Bedroom Aphrodite Poster|Storyteller|{#DialogueItalicFormat}O rosto da deusa Afrodite agora enfeita os aposentos do Príncipe, talvez para servir de consolo após a sua morte.
InspectBedroom_DionysusPoster|Inspect Bedroom Dionysus Poster|Storyteller|{#DialogueItalicFormat}O sempre sorridente, e embriagado rosto do grandioso Lorde Dionísio agora adorna uma parede dos aposentos do Príncipe, irradiando uma influência questionável.
InspectBedroom_ScryingPool|Inspect Bedroom Scrying Pool|Storyteller|{#DialogueItalicFormat}Uma tigela lindamente decorada e encantada com sutileza, contendo vestígios das últimas tentativas infelizes do Príncipe de fugir do Submundo, agora acentua um canto particularmente bagunçado de seu aposento.
InspectBedroom_Lyre|Inspect Bedroom Lyre|Storyteller|{#DialogueItalicFormat}Um instrumento musical delicadamente construído agora reside na bagunça dos aposentos do Príncipe, sem dúvida temendo, se pudesse, sua mão pesada.
InspectBedroomGamingTable01|Inspect Bedroom Gaming Table 01|Storyteller|{#DialogueItalicFormat}Um objeto talhado das formas mais complexas com o solo intuito de entretenimento agora reside nos aposentos do príncipe hedonista, embora a falta de um oponente limite seu apelo.
InspectBedroomRug01|Inspect Bedroom Rug 01|Storyteller|{#DialogueItalicFormat}Grande parte da maciez do divinamente trançado tapete que o Príncipe adquiriu não pôde ser sentido sob seus pés flamejantes.
InspectBedroom_FancyBed|Inspect Bedroom Fancy Bed|Storyteller|{#DialogueItalicFormat}Com sua suavidade no ponto certo, e seu bordado tematizado à morte, a nova roupa de cama do Príncipe Zagreu é a inveja de todos aqueles que desejam descansar em paz.
InspectBedroomCouch01|Inspect Bedroom Couch 01|Storyteller|{#DialogueItalicFormat}O sempre energético Príncipe continua incapaz de se sentar e relaxar, mesmo com tais macios, confortáveis assentos decorando seus aposentos.
InspectBedroomWeights01|Inspect Bedroom Weights 01|Storyteller|{#DialogueItalicFormat}Um gigantesco conjunto de pesos posicionados cuidadosamente à vista de qualquer visitante os farão sem dúvida pensar que o Príncipe é mais forte e em melhor forma que na realidade.
